time_now,day_night,optical_density,transmittance,od_raw,temperature,light_intensity_a,light_intensity_rpi,fm,fo,fj,fi,vj,fm_fi,fi_fj,fj_fo,fi_fo,fm_fj,variable_fluorescence,quantum_yield
12/09/2019 22:11:02,Night,0.302,49.88,432.0,-11.44,210.0,188.0,1.96191593352884,0.670654936461388,1.59155425219941,1.90185728250244,0.71,0.0600586510263927,0.310303030303031,0.920899315738025,1.23120234604106,0.370361681329423,1.29126099706745,0.66
12/09/2019 22:21:02,Night,0.302,49.88,432.0,-11.54,211.0,188.0,1.9569110459433,0.670654936461388,1.58404692082111,1.89685239491691,0.71,0.060058651026393,0.312805474095797,0.913391984359726,1.22619745845552,0.37286412512219,1.28625610948192,0.66
12/09/2019 22:31:02,Night,0.302,49.88,432.0,-11.44,212.0,188.0,1.95190615835777,0.658142717497556,1.56903225806452,1.88434017595308,0.7,0.0675659824046919,0.315307917888563,0.91088954056696,1.22619745845552,0.382873900293255,1.29376344086022,0.66
12/09/2019 22:41:03,Night,0.302,49.88,432.0,-11.44,211.0,188.0,1.95190615835777,0.673157380254154,1.58154447702835,1.88934506353861,0.71,0.0625610948191593,0.307800586510264,0.908387096774194,1.21618768328446,0.370361681329423,1.27874877810362,0.66
12/09/2019 22:51:03,Night,0.302,49.88,432.0,-11.54,211.0,188.0,1.94439882697947,0.670654936461388,1.58154447702835,1.88183773216031,0.72,0.0625610948191593,0.300293255131965,0.91088954056696,1.21118279569892,0.362854349951124,1.27374389051808,0.66
12/09/2019 23:01:02,Night,0.301,50.0,433.0,-11.44,210.0,188.0,1.93939393939394,0.670654936461388,1.56903225806452,1.87683284457478,0.71,0.0625610948191593,0.307800586510264,0.898377321603128,1.20617790811339,0.370361681329423,1.26873900293255,0.65
12/09/2019 23:11:03,Night,0.302,49.88,432.0,-11.76,211.0,188.0,1.93939393939394,0.658142717497556,1.56152492668622,1.86432062561095,0.71,0.0750733137829913,0.302795698924731,0.903382209188661,1.20617790811339,0.377869012707722,1.28125122189638,0.66
12/09/2019 23:21:03,Night,0.299,50.23,435.0,-11.44,207.0,188.0,1.93188660801564,0.663147605083089,1.56903225806452,1.87182795698925,0.71,0.060058651026393,0.302795698924731,0.905884652981427,1.20868035190616,0.362854349951124,1.26873900293255,0.66
12/09/2019 23:31:03,Night,0.302,49.88,432.0,-11.54,211.0,188.0,1.92938416422287,0.670654936461388,1.56402737047898,1.86932551319648,0.71,0.0600586510263932,0.305298142717497,0.893372434017595,1.19867057673509,0.365356793743891,1.25872922776149,0.65
12/09/2019 23:41:02,Night,0.301,50.0,433.0,-11.44,211.0,188.0,1.92437927663734,0.650635386119257,1.55151515151515,1.85681329423265,0.71,0.0675659824046924,0.305298142717497,0.900879765395894,1.20617790811339,0.37286412512219,1.27374389051808,0.66
12/09/2019 23:51:02,Night,0.301,50.0,433.0,-11.44,211.0,188.0,1.92187683284457,0.670654936461388,1.55151515151515,1.85931573802542,0.7,0.0625610948191595,0.307800586510264,0.880860215053763,1.18866080156403,0.370361681329423,1.25122189638319,0.65
13/09/2019 00:01:02,Night,0.301,50.0,433.0,-11.44,209.0,188.0,1.91687194525904,0.658142717497556,1.53900293255132,1.85931573802542,0.7,0.0575562072336269,0.320312805474096,0.880860215053764,1.20117302052786,0.377869012707722,1.25872922776149,0.66
13/09/2019 00:11:02,Night,0.3,50.12,434.0,-11.44,211.0,188.0,1.91687194525904,0.668152492668622,1.54150537634409,1.85931573802542,0.7,0.0575562072336269,0.317810361681329,0.873352883675464,1.19116324535679,0.375366568914956,1.24871945259042,0.65
13/09/2019 00:21:02,Night,0.299,50.23,435.0,-11.44,211.0,188.0,1.91186705767351,0.650635386119257,1.53900293255132,1.85180840664712,0.7,0.0600586510263932,0.312805474095797,0.888367546432063,1.20117302052786,0.37286412512219,1.26123167155425,0.66
13/09/2019 00:31:03,Night,0.294,50.81,440.0,-11.44,211.0,188.0,1.90185728250244,0.660645161290323,1.52899315738025,1.83178885630499,0.7,0.0700684261974587,0.302795698924731,0.868347996089932,1.17114369501466,0.37286412512219,1.24121212121212,0.65
13/09/2019 00:41:03,Night,0.299,50.23,435.0,-11.44,211.0,188.0,1.89184750733138,0.658142717497556,1.52398826979472,1.84179863147605,0.7,0.0500488758553277,0.317810361681329,0.865845552297165,1.18365591397849,0.367859237536657,1.23370478983382,0.65
13/09/2019 00:51:02,Night,0.299,50.23,435.0,-11.44,210.0,188.0,1.89184750733138,0.658142717497556,1.52398826979472,1.83178885630499,0.7,0.0600586510263932,0.307800586510264,0.865845552297165,1.17364613880743,0.367859237536657,1.23370478983382,0.65
13/09/2019 01:01:02,Night,0.299,50.23,435.0,-11.76,211.0,188.0,1.89685239491691,0.658142717497556,1.52649071358749,1.84179863147605,0.7,0.0550537634408603,0.315307917888563,0.868347996089932,1.18365591397849,0.370361681329423,1.23870967741935,0.65
13/09/2019 01:11:03,Night,0.299,50.23,435.0,-11.44,210.0,188.0,1.88934506353861,0.658142717497556,1.52649071358749,1.83679374389052,0.71,0.052551319648094,0.31030303030303,0.868347996089932,1.17865102639296,0.362854349951124,1.23120234604106,0.65
13/09/2019 01:21:03,Night,0.294,50.81,440.0,-11.44,211.0,188.0,1.90185728250244,0.660645161290323,1.52398826979472,1.83929618768328,0.7,0.0625610948191595,0.315307917888563,0.863343108504399,1.17865102639296,0.377869012707723,1.24121212121212,0.65
13/09/2019 01:31:03,Night,0.294,50.81,440.0,-11.44,211.0,188.0,1.90185728250244,0.663147605083089,1.52899315738025,1.84680351906158,0.7,0.0550537634408605,0.317810361681329,0.865845552297165,1.18365591397849,0.37286412512219,1.23870967741936,0.65
13/09/2019 01:41:02,Night,0.294,50.81,440.0,-11.44,211.0,188.0,1.90185728250244,0.658142717497556,1.51648093841642,1.84930596285435,0.69,0.052551319648094,0.332825024437928,0.858338220918866,1.19116324535679,0.385376344086022,1.24371456500489,0.65
13/09/2019 01:51:03,Night,0.294,50.81,440.0,-11.44,210.0,188.0,1.91186705767351,0.658142717497556,1.52148582600196,1.85931573802542,0.69,0.0525513196480942,0.33782991202346,0.863343108504399,1.20117302052786,0.390381231671554,1.25372434017595,0.66
13/09/2019 02:01:03,Night,0.294,50.81,440.0,-11.44,209.0,188.0,1.91687194525904,0.663147605083089,1.52398826979472,1.85931573802542,0.69,0.0575562072336269,0.335327468230694,0.860840664711632,1.19616813294233,0.392883675464321,1.25372434017595,0.65
13/09/2019 02:11:02,Night,0.299,50.23,435.0,-11.44,210.0,188.0,1.92187683284457,0.660645161290323,1.54150537634409,1.86682306940371,0.7,0.0550537634408603,0.325317693059628,0.880860215053763,1.20617790811339,0.380371456500489,1.26123167155425,0.66
13/09/2019 02:21:02,Night,0.294,50.81,440.0,-11.44,211.0,188.0,1.92938416422287,0.670654936461388,1.54901270772239,1.87933528836755,0.7,0.0500488758553275,0.330322580645161,0.878357771260997,1.20868035190616,0.380371456500489,1.25872922776149,0.65
13/09/2019 02:31:03,Night,0.294,50.81,440.0,-11.44,211.0,188.0,1.93939393939394,0.670654936461388,1.53650048875855,1.88434017595308,0.68,0.0550537634408601,0.347839687194526,0.865845552297165,1.21368523949169,0.402893450635386,1.26873900293255,0.65
